station_id,station_name,latitude,longitude,capacity,neighborhood,city_zone,install_date,status
S57,Station_57,17.347221,78.526962,41,Guzmanview,B,1995-12-26,active
S58,Station_58,17.387916,78.62243,43,Lake Davidport,C,1975-09-14,active
S59,Station_59,17.309339,78.498791,5,Stoutside,A,2017-06-10,active
S60,Station_60,17.408761,78.541081,10,Reneeburgh,B,2009-05-16,active
S61,Station_61,999.0,78.400106,-5,North Lisa,A,2002-12-19,inactive
S62,Station_62,17.373229,78.447193,20,North Joseph,C,1991-06-18,inactive
S63,Station_63,17.46411,78.602799,21,Philipton,A,1983-06-22,active
S64,Station_64,17.429161,78.604255,14,Bennettmouth,A,2022-12-19,inactive
S65,Station_65,17.303642,78.688454,6,Williamston,C,1982-05-19,active
S66,Station_66,17.491287,78.547399,34,Loriside,C,1979-07-02,inactive
S67,Station_67,17.327572,78.365081,24,South Savannah,C,1999-08-18,active
S68,Station_68,17.596332,78.416256,9,Brittanytown,B,2020-12-07,active
S69,Station_69,17.599901,78.677144,11,Hillshire,A,1982-07-17,inactive
S70,Station_70,17.298397,78.337638,40,Port Nicholasstad,C,2013-04-17,inactive
S71,Station_71,17.432006,78.676984,42,Palmertown,C,2009-12-08,inactive
S72,Station_72,17.354533,78.527449,31,Elizabethburgh,A,1998-11-06,active
S73,Station_73,17.357983,78.584113,42,East Kirstenfurt,B,2021-10-28,active
S74,Station_74,17.204435,78.512383,36,Stephenstad,A,2018-02-06,active
S75,Station_75,17.338909,78.6199,33,Morganton,A,2006-09-11,active
S76,Station_76,999.0,78.550108,10,South Jessicaport,B,1972-01-13,active
S77,Station_77,17.363638,78.405803,31,Brittanyborough,B,1990-08-23,active
S78,Station_78,17.205977,78.306232,32,Debbietown,C,1999-01-08,active
S79,Station_79,17.51866,78.452759,22,Danielmouth,B,2007-12-24,inactive
S80,Station_80,17.224565,78.603964,35,Fordborough,B,2009-11-26,inactive
S81,Station_81,17.20292,78.655901,-5,North Scottland,B,2022-03-01,inactive
S82,Station_82,17.52296,78.681628,9,Moralesmouth,A,1970-12-04,active
S83,Station_83,17.45459,78.62391,20,New Judytown,C,1989-05-28,inactive
S84,Station_84,17.589998,78.362933,38,Carolchester,B,1996-05-15,inactive
S85,Station_85,17.234455,78.393751,14,Tracyside,C,1993-02-06,inactive
S86,Station_86,17.596538,78.678199,17,Hernandezshire,A,2014-10-02,inactive
S87,Station_87,17.368322,78.467749,12,South Johnburgh,B,1999-09-13,inactive
S88,Station_88,17.544272,78.379367,43,Lake Johnton,C,2004-06-29,active
S89,Station_89,17.210636,78.690403,39,Port Joshua,C,2003-05-10,inactive
S90,Station_90,17.481749,78.427147,41,South Steven,C,1974-02-09,inactive
S91,Station_91,999.0,78.572103,34,Harrisberg,B,1977-12-25,active
S92,Station_92,17.464712,78.466583,21,Timothyborough,C,1976-12-28,active
S93,Station_93,17.477566,78.348223,30,East Jessicaburgh,B,1972-11-21,inactive
S94,Station_94,17.34075,78.613817,13,South Cassandraside,C,2016-02-04,inactive
S95,Station_95,17.35922,78.661401,16,Vaughnfurt,A,1991-06-08,active
S96,Station_96,17.362307,78.541165,36,Port Brian,A,1999-08-21,active
S97,Station_97,17.234453,78.326412,16,East Lauramouth,C,1991-08-24,inactive
S98,Station_98,17.485394,78.381693,35,North Ashleyshire,A,1975-07-12,active
S99,Station_99,17.373185,78.492128,13,Deannaport,C,1984-05-01,inactive
S100,Station_100,17.422757,78.672582,42,Crystalshire,A,2018-10-31,inactive
